lyrics,label
"at anything else now that I thought of you 
I laugh and I play and I wasnt gon na stray 
Swore Id never let a man in my way 
Youre the last thing I needed today 

And I remember thinking 

Are we falling like snow at the beach Snow at the beach 
Weird but fuckin beautiful 
Flying in a dream 
Stars by the pocketful 
You wanting me 
Tonight feels impossible 
But it comin down 
Like snow on the beach 
Like snow on the beach 
",1
"I see sparks fly whenever you smile 
Get me with those green eyes baby as the lights go down 
Give me something that haunt me when you not around 
I see sparks fly whenever you smile 

I need you now 
Read letters that I wrote on the wall 
And the message that I left when I called 
I need you baby 
Do be afraid to jump then fall 
Jump then fall into me 
every time you smile I smile 
And every time I look at you it like ",1
"before Ooh 
Made you the one I want 
I want to talk about what you are that I aint 
Let talk about what you want to 

All my friends are saying 
Girl why are you crying 
You better off you better off 
Well they can talk forever they just do know better 

We drive around town in a rusty old truck 
Somehow it feels like we flying 
Do want to come down 
But they make it so tough 
Cause everyone we know is trying 
To ",1
"me 
But I not going to brag about that 
In my monologue 

La la la ha ha ha 
Ha ha ha ha ha ha 
La la la 

And if I bleed you be the last to know oh 

It new the shape of your body 
It blue the feeling I got 
And it ooh 
It a cruel summer with you 

And all at once I been waiting waiting 
Body and soul 
And all at once you all I want I never let you ",1
"to a perfect day 
So just walk away ai no use defending words that you will never say 
And now that I know I wish you left me wondering 

God rest my soul 
I miss who I used to be on your side 
But if you single that honestly worse 
you so gorgeous it actually hurts Honey it hurts 
Ocean blue eyes looking in mine 
I feel like I could 
Talk to you forever 
With the sun shining bright 
It feels just like a day 
When everything ",1
"
Most fun I ever had Most fun I ever had 
And I do seem 
My friends all say they know 
Everything I going through 
I drive down different roads 
But they all lead back to you 

And they would toast to me oh Ayy let the players play 
Id be just like Leo in 
I so sick of them comin at me again 
if I was a man then I be the man 
I so sick of them comin at me again Comin at me again 
if ",1
"could get married 
Have ten kids and teach how to dream 


Oh my love is a lie 
Shit my friends say to get me by 
It hits different this time 
Catastrophic blues 
Movin on was always easy for me to do 
It hits different it you 

I used to scream ferociously 
Any time I wanted 
I I 

Sweet tea in the summer 
Cross your heart wo tell no other 
And though I cant recall your face 
I let you in 
Stay ",1
"I was to leave 
And I bet you thought you beat me 
Wish you could only see 
I got an I heart question mark 
Written on the back of my hand 

And I do wan na need you this way 
Come back be here come back be here 

The delicate beginning rush 
The feeling you can know so much 
Without knowing anything at all 
And you flashback to when he said Forever and always 
Oh I stare at the phone he still has called 
And then ",1
"
A rabbit foot in her pocket she dances in spite 
Of the fact that she different 
And yet she the same 
And she says 


Lucky you lucky you lucky you 

She sings her little song she walks along 
A little pathway headed for the skies 
Left to travels lives they unravel 
Mind over matter that what she says 

Mama named her Lucky on a starlit night 
A rabbit foot in her pocket she dances in spite 
Of the fact that she different 
And ",1
"long as you mine 
I be your summer sun forever 
At AM pacing 
All this time 
We always walked a very thin line 
You did even hear me out 
They said Speak now 
Do say yes run away now 
I meet you when you out 
At your cool indie music concerts every week 
I bet youre tired from a long hard week 
I bet you could believe 
When you think Tim McGraw 
I hope you think that little black dress 
After everything I must confess I ",1
